Id;y1;y2;y3;y4;y5
0;110.5;40.9;0.0;48;13.94
1;110.8;38.6;0.0;48;20.91
2;112.6;37.0;0.0;48;20.91
3;110.9;37.6;0.0;48;41.82
4;112.5;38.4;0.0;52;69.7
5;116.7;41.0;0.0;44;118.49
6;116.5;81.8;0.0;48;69.7
7;157.2;91.1;0.0;36;76.67
8;172.7;85.4;0.0;44;27.88
9;168.1;81.6;0.0;40;34.85
10;155.9;66.6;0.0;40;34.85
11;159.3;70.8;0.0;40;34.85
12;169.9;67.4;0.0;44;41.82
13;146.4;63.3;0.0;40;48.79
14;150.8;62.2;0.0;44;41.82
15;138.4;63.4;0.0;40;62.73
16;126.9;64.4;0.0;44;27.88
17;132.6;71.3;0.0;40;27.88
18;124.4;69.6;0.0;36;27.88
19;123.5;63.7;0.0;44;27.88
20;122.5;50.3;0.0;80;41.82
21;123.6;38.9;0.0;60;41.82
22;117.8;41.1;0.0;52;27.88
23;117.1;42.6;0.0;52;27.88
24;112.3;41.4;0.0;48;34.85
25;114.2;38.8;0.0;44;90.61
26;110.7;38.5;0.0;40;76.67
27;111.2;38.4;0.0;48;69.7
28;112.4;39.6;0.0;48;55.76
29;114.1;39.4;0.0;40;41.82
30;113.6;40.9;0.0;48;41.82
31;130.1;42.4;0.0;48;27.88
32;126.4;41.4;0.0;44;27.88
33;124.2;41.1;0.0;48;20.91
34;121.2;41.2;0.0;48;27.88
35;123.7;41.4;0.0;40;34.85
36;125.2;41.9;0.0;48;34.85
37;128.2;42.2;0.0;48;34.85
38;127.5;42.1;0.0;44;41.82
39;114.1;43.3;0.0;44;48.79
40;112.3;42.3;0.0;48;48.79
41;116.4;43.1;0.0;44;13.94
42;112.4;44.3;0.0;48;20.91
43;113.1;43.6;0.0;44;27.88
44;111.6;41.2;0.0;40;34.85
45;112.7;39.3;0.0;40;27.88
46;114.8;43.3;0.0;48;34.85
47;110.2;44.2;0.0;48;97.58
48;112.0;42.9;0.0;44;90.61
49;111.8;39.8;0.0;44;83.64
50;110.9;40.3;0.0;44;48.79
51;114.9;41.5;0.0;44;48.79
52;111.5;42.1;0.0;40;55.76
53;115.9;41.3;0.0;44;55.76
54;114.5;41.1;0.0;40;48.79
55;131.8;46.3;0.0;44;41.82
56;139.6;45.5;0.0;44;27.88
57;137.8;43.4;0.0;44;27.88
58;138.0;43.2;0.0;40;41.82
59;139.5;44.4;0.0;36;34.85
60;133.3;44.6;0.0;44;48.79
61;130.6;45.1;0.0;40;41.82
62;122.3;44.9;0.0;40;41.82
63;112.6;45.0;0.0;44;69.7
64;111.5;44.9;0.0;40;20.91
65;110.1;47.3;0.0;36;27.88
66;111.1;47.3;0.0;44;34.85
67;111.2;45.8;0.0;40;41.82
68;115.1;43.8;0.0;40;34.85
69;115.6;43.2;0.0;44;34.85
70;114.6;43.8;0.0;40;34.85
71;113.8;47.6;0.0;44;20.91
72;114.6;46.2;0.0;40;55.76
73;110.7;44.1;0.0;36;83.64
74;112.6;43.3;0.0;36;69.7
75;111.1;56.5;0.0;44;76.67
76;111.3;71.1;0.0;40;62.73
77;126.7;122.0;0.0;40;83.64
78;153.3;253.1;0.0;40;139.4
79;217.7;296.3;0.0;40;320.62
80;244.3;322.8;0.0;44;278.8
81;251.9;332.2;0.0;44;285.77
82;235.2;237.9;0.0;44;355.47
83;238.7;225.2;0.0;48;362.44
84;241.7;228.7;0.0;44;362.44
85;237.3;197.7;0.0;40;341.53
86;227.9;209.3;0.0;56;334.56
87;215.6;206.3;0.0;44;271.83
88;209.0;205.1;0.0;48;209.1
89;217.4;203.0;0.0;52;236.98
90;208.7;181.3;0.0;40;250.92
91;188.4;146.9;0.0;48;243.95
92;128.9;91.2;0.0;80;90.61
93;118.9;50.5;0.0;128;69.7
94;115.1;45.1;0.0;52;69.7
95;115.7;45.1;0.0;52;55.76
96;113.3;45.8;0.0;36;62.73
97;115.4;45.6;0.0;44;62.73
98;114.2;44.0;0.0;40;69.7
99;113.8;47.3;0.0;36;62.73
100;115.6;55.7;0.0;36;69.7
101;120.1;76.5;0.0;36;69.7
102;140.1;213.2;0.0;40;76.67
103;199.3;247.7;0.0;44;174.25
104;231.8;279.2;0.0;32;209.1
105;256.1;296.3;0.0;40;362.44
106;239.7;230.9;0.0;48;376.38
107;223.4;228.9;0.0;44;383.35
108;233.9;228.6;0.0;44;355.47
109;230.8;204.9;0.0;48;341.53
110;235.0;217.4;0.0;48;376.38
111;221.7;212.0;0.0;52;285.77
112;211.0;213.1;0.0;52;243.95
113;221.9;201.3;0.0;52;243.95
114;211.5;185.1;0.0;52;243.95
115;194.3;149.2;0.0;52;236.98
116;130.8;92.9;0.0;120;90.61
117;123.6;52.3;0.0;136;62.73
118;119.7;47.4;0.0;52;76.67
119;115.6;45.3;0.0;52;62.73
120;118.2;46.2;0.0;44;69.7
121;119.2;45.4;0.0;40;55.76
122;118.2;47.2;0.0;40;69.7
123;120.3;48.0;0.0;40;62.73
124;117.6;53.3;0.0;40;62.73
125;122.4;66.6;0.0;40;69.7
126;133.5;171.2;0.0;36;62.73
127;189.3;222.6;0.0;48;174.25
128;217.2;261.7;0.0;48;202.13
129;242.1;272.1;0.0;48;327.59
130;232.6;215.6;0.0;64;369.41
131;202.7;200.9;0.0;60;348.5
132;224.9;195.7;0.0;64;369.41
133;231.6;179.9;0.0;60;313.65
134;205.3;194.0;0.0;76;334.56
135;204.3;191.6;0.0;80;285.77
136;202.9;191.1;0.0;80;223.04
137;207.2;185.7;0.0;80;236.98
138;208.2;172.1;0.0;72;230.01
139;190.8;143.5;0.0;72;230.01
140;132.5;87.3;0.0;188;83.64
141;122.0;50.0;0.0;216;69.7
142;117.9;44.4;0.0;72;62.73
143;116.1;42.8;0.0;52;69.7
144;114.0;43.3;0.0;52;62.73
145;115.4;42.1;0.0;48;55.76
146;114.0;43.6;0.0;52;69.7
147;114.8;46.9;0.0;52;69.7
148;115.6;51.7;0.0;48;69.7
149;120.3;64.7;0.0;48;55.76
150;135.5;149.0;0.0;48;69.7
151;181.6;214.4;0.0;40;181.22
152;192.1;247.6;0.0;52;202.13
153;232.7;269.0;0.0;52;362.44
154;219.5;215.1;0.0;64;390.32
155;220.3;208.8;0.0;68;355.47
156;229.7;193.2;0.0;72;299.71
157;225.2;179.9;0.0;72;250.92
158;222.0;184.1;0.0;84;285.77
159;209.6;180.9;0.0;116;230.01
160;208.8;184.7;0.0;100;181.22
161;221.4;180.2;0.0;108;209.1
162;213.4;164.1;0.0;72;243.95
163;195.1;138.9;0.0;72;202.13
164;133.1;92.9;0.0;188;83.64
165;120.3;51.3;0.0;212;76.67
166;117.7;45.0;0.0;96;69.7
167;114.5;45.4;0.0;56;62.73
168;116.7;44.2;0.0;52;69.7
169;114.7;44.8;0.0;56;62.73
170;114.2;45.0;0.0;52;69.7
171;116.2;43.8;0.0;56;62.73
172;115.6;44.4;0.0;52;69.7
